"OUT_Id"	"g406"	"g407"	"g408"	"g409"	"g410"	"g416"	"g417"	"g418"	"g419"	"g420"	"g426"	"g427"	"g428"	"g429"	"g430"	"g436"	"g437"	"g438"	"g439"	"g440"	"g446"	"g447"	"g448"	"g449"	"g450"	"superkingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"31"	"OTU36"	1046	155	156	227	845	0	0	0	0	0	0	155	154	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_Incertae_Sedis_IV"	"Caldicoprobacter"	"uncultured_bacterium"
"32"	"OTU37"	262	155	156	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Unassigned"	"Unassigned"	"Unassigned"
"33"	"OTU38"	0	310	156	227	282	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_Incertae_Sedis_XVII"	"Thermaerobacter"	"Unassigned"
"34"	"OTU39"	523	155	312	0	0	0	0	0	310	0	155	0	617	308	156	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae_1"	NA	"uncultured_compost_bacterium"
"35"	"OTU40"	0	155	312	0	1126	0	5820	7982	8982	15066	464	618	925	0	156	0	0	0	0	0	0	0	0	0	474	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae_2"	"Planifilum"	"Unassigned"
"36"	"OTU41"	0	155	0	0	0	0	0	0	0	0	0	0	0	0	778	0	0	0	0	0	615	0	0	0	0	"Bacteria"	"Deinococcus-Thermus"	"Deinococci"	"Deinococcales"	"Trueperaceae"	"Truepera"	"uncultured_bacterium"
"37"	"OTU42"	523	310	781	909	845	0	472	614	929	1352	2627	6181	7863	154	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiopsaceae"	"Thermobifida"	"Unassigned"
"38"	"OTU43"	436586	250665	292812	746042	508164	121551	48764	23026	62876	163797	7263	14680	46101	4317	7622	3422	2202	2942	1382	2013	3077	4044	2942	3422	3318	"Bacteria"	"Actinobacteria"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"39"	"OTU44"	6973859	1642284	735469	5796766	3632320	1240309	550247	1004715	1222522	2355160	593996	655651	876696	377291	421711	330556	188607	349226	227193	244226	170000	298511	284956	291356	313025	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Gp4"	"uncultured_cyanobacterium"
"40"	"OTU45"	16218	19557	43125	13407	42230	12864	8809	2149	4181	12555	15762	21015	29912	925	6067	1400	1416	774	0	155	769	156	774	778	3160	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Rubellimicrobium"	"Unassigned"
"41"	"OTU46"	8894	19557	4531	1591	1408	2051	2517	3684	5111	2125	309	0	154	0	1556	0	472	1549	461	774	615	2489	310	156	790	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Gp4"	"uncultured_cyanobacterium"
"42"	"OTU47"	822424	302971	540625	438354	1022523	2146166	1309079	744825	299204	1579056	265938	281236	229427	200132	250289	33289	144562	122655	10592	39027	176769	164267	157345	241111	499481	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Unassigned"	"Unassigned"
"43"	"OTU48"	5232	29956	25625	23406	9291	2237	157	154	1239	193	1082	2009	4471	0	0	933	472	0	154	0	0	0	465	0	632	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Pirellula"	"uncultured_Firmicutes_bacterium"
"44"	"OTU49"	6016	2794	937	5681	5912	746	1258	307	774	966	773	309	308	154	0	0	0	310	0	0	462	0	0	311	0	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Unassigned"	"Unassigned"
