OTU_Id	g411	g412	g413	g414	g415	g421	g422	g423	g424	g425	g431	g432	g433	g434	g435	g441	g442	g443	g444	g445	g451	g452	g453	g454	g455	g406	g407	g408	g409	g410	g416	g417	g418	g419	g420	g426	g427	g428	g429	g430	g436	g437	g438	g439	g440	g446	g447	g448	g449	g450
OTU2260	0	1863	0	614	157	0	0	0	0	0	155	157	154	0	769	104	0	0	0	0	0	0	0	0	0	523	6674	9844	19770	4786	0	0	0	0	0	0	1391	617	0	1244	0	0	0	0	0	0	0	0	0	0
OTU2261	155	0	0	0	940	0	208	0	0	618	2323	1888	615	1416	3231	0	259	52	0	519	311	155	0	156	0	523	776	625	682	845	5220	2517	154	310	0	4481	5563	14648	0	778	1711	315	0	0	0	462	1711	1084	778	790
OTU2262	466	155	0	0	0	155	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1570	2328	312	1591	5631	186	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0
OTU2263	4501	7450	4298	9518	2975	7124	728	2045	948	3245	7743	5663	615	2517	5846	52	724	261	0	104	156	929	0	260	0	28251	15366	36094	51357	76014	42879	6921	3684	2942	26656	25806	31369	17115	2775	10578	622	629	774	154	155	2462	3422	774	3422	4582
OTU2264	155	1863	307	1996	626	465	0	157	0	309	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	3401	4812	4531	15453	13232	4661	315	0	619	386	0	0	0	0	1711	0	0	0	0	0	615	156	0	3422	2844
OTU2265	0	4035	0	307	940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8381	0	2954	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2266	1863	3415	2303	7675	3758	9912	2598	4876	5056	5408	8982	3775	1385	4876	8769	519	931	365	52	363	4200	2323	206	416	2033	10463	15987	9375	17271	28153	63759	13528	13509	9757	25110	21015	12362	9251	7247	14778	467	4090	4181	154	310	18308	14467	8363	23178	37923
OTU2267	1086	1707	1996	6754	1096	9757	572	2989	790	4172	8518	3775	2308	3146	8462	570	1397	209	208	985	2022	8982	464	1770	3684	13602	4656	2812	8635	42230	33557	6292	1689	3717	34382	12517	13907	10947	13106	9178	4044	4719	2633	1535	465	9077	18200	9447	9644	14537
OTU2268	5743	16918	13969	27478	15034	46925	12472	13213	12957	37550	15642	12742	5538	9124	13846	6793	4242	5845	1038	7674	48222	20442	3970	10149	25662	3924	11330	4844	12953	58277	175056	26584	12127	28496	63162	11435	1545	4780	3546	9489	2022	6292	5265	1535	6969	6769	10422	15642	9489	7901
OTU2269	155	5588	2456	1689	3915	0	0	0	0	0	774	157	0	0	0	0	155	0	0	0	0	0	0	0	0	4447	9157	2500	44767	18300	0	0	0	0	0	0	309	308	0	1089	156	0	155	0	0	0	0	0	622	0
OTU227	2328	3259	307	4912	2975	929	260	629	0	773	0	157	0	629	1846	104	103	0	0	363	311	310	0	0	508	19357	12262	625	16816	92624	23117	787	614	310	3670	927	155	154	0	2956	156	157	774	0	0	1231	5133	310	2644	3634
OTU2270	0	155	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	127	0	6208	7969	0	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0
OTU2271	1552	8692	4145	4452	5638	1084	208	315	158	2627	17345	7079	769	3461	15385	311	2742	574	0	363	622	1084	155	364	381	42377	4035	9375	19770	78829	33184	2045	1382	1704	22020	34150	52693	6476	6476	11511	3267	3775	7279	307	1084	11385	7311	8363	19600	26862
OTU2272	1863	0	307	2610	1409	310	0	157	0	155	619	157	615	315	154	0	362	0	0	0	0	465	0	156	0	12033	931	2969	4999	11824	1305	0	154	619	3863	927	0	2621	1542	1244	0	0	155	0	0	154	467	310	0	2212
OTU2273	0	155	614	3684	157	465	52	944	790	0	619	0	0	1258	154	0	0	0	0	0	0	310	155	0	635	1308	5122	4531	12726	2252	2610	315	307	1549	1545	0	0	0	0	0	0	0	0	0	0	154	2178	1858	1867	2054
OTU2274	6208	22506	3070	11206	18322	5730	2598	157	1106	4327	6350	1416	2769	2360	11077	259	1035	261	0	0	622	465	0	0	0	84754	13969	18438	57720	101351	11559	5663	3684	1549	22020	3554	773	12643	2313	2022	933	629	0	0	0	2308	2178	465	778	2844
OTU2275	0	466	614	154	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3401	1086	0	5227	0	0	0	768	774	1545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2276	466	1863	307	307	3758	465	364	1258	474	3245	465	157	462	0	1846	52	0	0	0	259	156	619	52	156	0	13341	3880	6250	3636	4786	3169	4876	1075	619	15839	0	309	2775	0	467	622	472	310	0	0	154	778	1394	156	158
OTU2277	155	1086	0	154	2506	0	52	157	0	773	0	0	0	0	0	0	0	0	0	0	311	0	103	0	0	1570	4501	2031	3863	2815	746	1258	154	0	579	155	0	0	0	0	0	0	0	0	0	154	0	310	0	0
OTU2278	621	2483	921	2149	3132	2168	104	0	0	2627	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	29559	3104	5000	29996	71791	30574	157	1075	465	15259	155	0	0	0	156	0	0	0	0	0	615	0	0	0	790
OTU2279	2173	0	307	0	783	0	0	0	0	0	5575	157	308	2989	9077	363	517	0	0	0	2333	1704	52	520	8512	31129	466	312	0	0	0	0	0	0	0	1545	0	154	3700	1867	467	315	619	154	1394	0	0	1394	156	474
OTU228	931	3259	2303	2917	1096	0	0	315	0	464	1704	1730	1077	2360	769	104	259	365	0	259	0	310	0	0	0	8109	19401	7500	20225	11543	746	0	0	0	2897	10044	12208	6167	1079	3422	1400	157	0	154	0	1846	1244	0	1244	3792
OTU2280	1242	931	921	614	626	310	935	315	316	309	2633	3146	1385	3146	1538	207	0	0	0	0	311	0	0	104	127	15957	1863	5469	17271	31250	13050	1416	1842	1239	12362	6490	7417	8172	2313	4978	156	472	0	0	0	1077	2333	3717	3422	2370
OTU2281	155	466	768	307	1723	1084	208	472	0	927	0	157	1231	315	0	0	155	157	0	0	0	0	0	0	0	6801	4346	469	4999	23367	6898	315	0	155	3284	1082	4018	1850	617	0	0	0	0	0	0	0	0	0	0	158
OTU2282	0	466	0	768	940	155	0	787	0	309	0	0	154	472	0	0	0	0	0	0	0	0	0	0	0	4447	310	937	4318	5912	186	0	154	774	193	0	0	2004	154	0	0	0	0	0	0	0	0	0	0	0
