"OUT_Id"	"g411"	"g412"	"g413"	"g414"	"g415"	"g421"	"g422"	"g423"	"g424"	"g425"	"g431"	"g432"	"g433"	"g434"	"g435"	"g441"	"g442"	"g443"	"g444"	"g445"	"g451"	"g452"	"g453"	"g454"	"g455"
"50"	"OTU64"	17228	37871	56952	83355	43378	160442	11069	72989	23860	64283	32522	23753	13692	43888	55846	3837	14848	2192	986	5496	156800	69381	4383	8015	49673
"51"	"OTU65"	0	155	0	614	1096	0	260	0	0	0	774	157	0	0	308	0	0	0	0	0	0	0	0	0	0
"52"	"OTU66"	801197	2284545	223048	348925	1040917	29115	73014	4562	53093	47285	15951	9753	9077	10854	769	19081	29956	39507	10642	31837	1089	22920	9075	625	508
"53"	"OTU67"	73725	46098	38838	144912	73915	942522	88604	352517	100813	225916	107013	35708	26462	90764	110308	5911	8019	4697	363	6533	329311	159978	2836	34612	204029
"54"	"OTU68"	94678	348603	108377	363202	176174	1839513	272257	793596	241287	490618	232146	135124	42769	153685	322000	34481	46149	25990	3997	71919	447222	272721	14644	40753	241506
"55"	"OTU69"	168714	311197	48048	309934	264183	86726	23489	30360	10429	107704	192810	152112	57077	135753	109231	2281	15159	3444	156	4459	35467	34845	2836	5049	3303
"56"	"OTU70"	18470	129601	57259	60329	85817	32522	4677	13843	36501	54547	32987	23753	22000	21551	40000	5133	15521	7776	1090	8296	24733	23540	6497	11711	22740
"57"	"OTU71"	7916	7295	11820	41601	17539	35774	18293	31775	25914	26733	63805	23910	4308	26427	19538	1141	6571	470	0	2800	17422	8053	877	1405	7241
"58"	"OTU72"	310	0	0	0	626	0	208	315	0	618	0	157	0	0	2000	0	0	0	0	0	0	310	0	0	0
"59"	"OTU73"	42993	142949	56491	186206	107271	210155	49161	72045	36975	80508	161217	103663	25538	92337	137385	6119	12779	6628	260	12704	133311	63960	3970	9837	60472
"60"	"OTU74"	47494	111752	25175	70154	106488	55752	19644	99416	72686	69845	54049	45303	30923	26899	66154	10889	23333	12786	3841	51074	33289	17190	3970	11138	29474
"61"	"OTU75"	55410	150554	30702	133860	113221	306482	71195	178225	41400	143709	313761	137326	51077	143775	205692	17785	39682	15396	1661	30385	407400	198850	9178	23057	176588
"62"	"OTU76"	1493902	1328914	653487	1408904	1505391	713783	22814	370449	630632	683002	128385	187820	92923	76135	138462	32770	39941	12473	2232	71141	342378	203031	9591	81454	292450
"63"	"OTU77"	6364	56031	32544	31930	28031	55442	4157	49551	17381	35386	10686	14944	6615	787	0	933	1863	157	0	985	1556	310	155	16083	2922
"64"	"OTU78"	381042	504279	301798	554013	477002	211084	50200	133551	287269	471457	277058	205596	79385	201034	156000	3785	25765	6993	260	6015	38267	41504	4589	8900	10290
"65"	"OTU79"	191530	285122	298421	317303	292998	564646	43912	112944	198307	390795	69226	75663	38462	42944	47231	17422	16866	14091	2855	23904	73111	77124	2784	16759	116243
"66"	"OTU80"	508315	704501	368882	1782544	1039821	701704	92034	526337	256298	619801	454071	262225	124769	336787	603231	65178	106785	42795	9292	115370	252156	233230	31763	107582	206062
"67"	"OTU81"	80089	106475	32083	254978	141096	240664	84291	168472	84853	200883	295332	165955	50308	203079	302000	17059	55669	15552	2596	38215	282800	150686	17274	41430	194501
"68"	"OTU82"	11796	41907	40219	18268	24743	31903	4885	38225	35395	42494	10066	9596	2000	1888	0	311	517	470	0	4304	0	310	0	104	127
"69"	"OTU83"	14745	54169	35614	93333	55280	55752	17045	59618	22438	51148	36239	30360	17231	3461	1385	8867	5381	7254	2596	13119	2022	5730	8456	15562	7623
"70"	"OTU84"	118115	296142	109145	286754	251186	384071	80134	381933	221851	290508	171283	145506	64154	111843	204462	22193	41545	21971	3789	42830	324800	212633	10828	42575	233122
"71"	"OTU85"	75743	317871	9825	124956	225347	45066	24684	42629	44402	70309	14867	9438	7692	10382	24000	2126	2276	1357	208	3163	19133	11615	980	3487	2287
"72"	"OTU86"	492483	670510	565526	773070	551074	1689757	549814	1981551	674244	1201744	1101106	856517	343231	635191	680000	177904	187701	131045	22010	238519	1513556	984027	151803	585273	1791289
"73"	"OTU87"	1387273	2991840	1678158	2664605	1945436	1894027	255471	2298831	1124266	1355651	518650	348112	197538	322472	399538	23644	82831	14456	3634	58644	846689	326770	18769	55274	427623
"74"	"OTU88"	121375	133792	52039	436425	192304	159049	74053	71888	90858	98896	299204	333798	222462	497079	602462	18511	96334	28443	7838	24163	263511	116770	10261	96340	30871
"75"	"OTU89"	855521	3239246	1615526	1260000	1798076	115221	33259	185775	171919	394967	37168	35393	21538	14944	15538	16748	23954	39350	16352	59837	17889	38872	17738	10826	20200
"76"	"OTU90"	61929	226142	46513	184364	176174	82235	27854	73775	51670	105695	75111	39011	55231	56629	119538	2437	25248	6106	1921	13741	35156	26637	3558	15562	17024
"77"	"OTU91"	185166	345809	110066	541886	372550	539867	164684	379888	133521	438698	215575	123798	54154	170045	211846	15556	35285	16178	3582	31319	319356	148053	18614	33883	170871
"78"	"OTU92"	178337	382594	253750	414781	363624	331416	70104	266629	145847	314459	289292	307371	111538	120809	69692	71244	53341	68471	13029	101630	79333	113053	99105	91135	70127
"79"	"OTU93"	24368	40665	16579	81667	60447	34845	15330	20764	15485	39713	9757	10539	5538	9596	21692	622	1500	365	208	1400	8244	4027	619	520	2033
"80"	"OTU94"	102594	98404	56031	191579	151902	786571	139792	347169	130993	362671	266991	308157	102769	363843	485692	41119	88418	27399	13185	55637	671222	435796	27690	72814	550091
"81"	"OTU95"	6984	15676	24408	31776	13781	35465	2287	47978	25914	56711	19049	29888	4154	25798	29846	1400	3363	1044	0	3163	89444	49248	1495	4945	59710
"82"	"OTU96"	2173	6208	2763	0	3132	1239	52	157	3792	12517	1084	315	462	0	0	519	103	1200	571	519	0	0	155	0	0
"83"	"OTU97"	82572	130687	75219	128026	109306	99735	17617	97056	39029	36004	7743	3461	5077	3146	8000	207	259	0	0	104	16956	5575	464	260	1016
"84"	"OTU98"	1242	7295	1382	2763	5951	1394	1455	629	316	1700	3097	1730	0	787	3538	0	0	0	0	0	0	774	0	0	254
"85"	"OTU99"	16918	83814	27785	35000	29754	8673	3118	6921	52619	8190	53739	48921	4615	23438	27692	363	2483	835	0	1763	2022	2013	52	729	127
"86"	"OTU100"	4191	6829	1382	4298	2819	619	1767	629	474	309	1549	1573	615	5191	462	0	103	0	0	0	0	310	0	0	0
"87"	"OTU101"	8847	46718	3531	15044	23020	7588	3274	2989	4108	12517	15332	5820	5077	5506	15077	104	1035	209	208	622	1400	619	155	104	508
"88"	"OTU102"	22350	55255	28246	84583	68121	24469	5197	38382	40926	58874	9912	3933	5385	4719	11231	259	1604	209	415	2126	5289	6659	52	1666	2922
"89"	"OTU103"	143880	268514	208465	215833	184161	270398	55709	341348	263093	403620	387168	335528	104154	155573	160462	68548	101146	48483	8098	72541	120556	177942	32227	210011	78131
"90"	"OTU104"	466	1086	0	768	157	0	0	0	0	0	2168	944	462	1101	308	0	0	0	0	0	0	0	0	0	0
"91"	"OTU105"	0	0	0	0	0	0	0	0	316	0	155	472	0	0	154	0	0	0	0	0	0	0	0	0	0
"92"	"OTU106"	243370	793437	358289	443947	693579	211858	37313	234067	260564	367925	107633	100045	80615	33034	79231	23800	58980	28808	9136	86904	61133	37013	15778	67766	53612
"93"	"OTU107"	155	1086	307	614	1723	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0
"94"	"OTU108"	0	931	0	307	626	0	104	157	0	0	155	0	0	0	615	0	0	0	0	0	0	0	0	0	0
"95"	"OTU109"	931	3259	768	2149	2506	155	0	0	0	464	155	0	0	0	0	0	0	0	0	0	0	0	0	0	127
"96"	"OTU110"	1520599	3060288	1825680	2553618	2358702	2281814	279480	3196876	1383725	2231347	1145553	753011	293231	481820	669692	114126	178285	101246	23204	415593	834089	819248	48263	152915	1202831
"97"	"OTU111"	3415	2639	614	921	2819	1084	52	3303	1896	309	15022	13056	5692	10697	6308	52	2173	678	0	1141	1867	2323	0	0	127
"98"	"OTU112"	191840	460355	338180	329430	328233	339469	150290	833236	188668	326512	254602	170831	74923	145663	215077	29763	55358	40133	6956	145859	316556	213872	18563	36693	248367
"99"	"OTU113"	0	0	0	154	0	0	0	0	0	155	0	0	0	315	0	0	103	157	0	0	0	0	0	0	0
"100"	"OTU114"	6829	25455	6601	25636	14094	21217	3378	16202	6321	14989	56217	34607	5231	31303	67692	1607	2069	835	0	1400	22089	22456	928	4320	25662
"101"	"OTU115"	310	8692	921	3684	4385	4491	2287	3461	2212	2936	22301	6921	4615	18090	7231	830	2380	418	208	7156	2800	774	413	833	254
"102"	"OTU116"	763636	2455277	1375285	391601	1531074	505022	50512	303910	304492	642208	99580	63079	44923	40112	70923	10007	28455	23641	7683	27119	23022	67367	2011	10045	71016
"103"	"OTU117"	197583	354656	246689	523311	432371	86261	8938	34764	75530	200574	26482	20764	16462	4876	5231	4096	3570	8663	675	8711	2956	6969	258	3071	3430
"104"	"OTU118"	2328	7916	1689	1689	3915	619	208	472	316	155	465	0	308	787	0	0	0	0	0	0	2022	1549	0	0	381
"105"	"OTU119"	0	1086	0	921	783	0	0	0	158	0	0	0	615	157	0	207	0	0	0	0	0	0	0	156	0
"106"	"OTU120"	8537	16297	3070	23026	13468	3252	728	5348	3634	5408	7898	1888	615	5820	5692	104	1604	574	0	881	2489	1239	52	416	2668
"107"	"OTU121"	2483	3259	2763	6754	9239	6350	2339	8809	2054	11435	5885	5348	2308	5034	8615	311	621	365	0	519	7467	4491	155	1197	5971
"108"	"OTU122"	10399	77761	23794	60329	68121	12699	2442	5820	8849	24724	0	157	0	0	1231	0	103	0	0	0	0	0	0	0	0
"109"	"OTU123"	88315	257650	151820	120658	179620	67212	190304	83213	127833	252494	68761	69528	32615	23124	14154	18200	3932	16492	4776	28311	11978	8982	5208	11607	12069
"110"	"OTU124"	4967	3415	1996	2763	6577	465	416	787	0	2781	3562	4247	154	4247	3231	0	103	157	0	0	311	310	0	0	0
"111"	"OTU125"	13193	151641	2149	15044	65772	32212	20059	22809	42032	48985	17500	7865	2000	1416	11077	1867	2173	1044	0	3422	11978	8673	413	1666	1779
"112"	"OTU126"	0	931	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"113"	"OTU127"	621	2173	0	1996	1879	155	260	787	0	309	4801	157	615	1258	0	0	362	0	0	0	0	0	0	104	0
"114"	"OTU128"	5428958	7272239	6104737	991820	5802327	71394	1039	6607	47562	389249	29735	6607	5385	70472	923	8400	9054	356969	67276	37074	467	3562	309949	107946	2541
"115"	"OTU129"	74346	276430	58333	271864	212192	133496	44848	86989	63047	113885	96637	60876	76769	88090	126769	6378	31146	6106	2180	9593	35311	32212	5208	17436	25662
"116"	"OTU130"	808958	1676275	1158224	2490219	1547204	3018518	635301	2338787	1081603	2225320	1130066	836697	273077	781326	1052462	123667	261323	112257	32132	348600	1812533	1143850	72859	195438	1393267
"117"	"OTU131"	206275	474479	312083	282610	338412	241283	17513	91708	145530	342428	34226	29101	19538	5663	10308	4459	7191	4854	1038	52889	2800	2633	155	2394	6479
"118"	"OTU132"	4346	8692	1382	7675	7360	3097	572	3618	3634	4481	4956	2989	2923	2045	5692	207	362	52	0	363	778	310	0	416	889
"119"	"OTU133"	0	1397	614	307	1566	155	10965	0	1264	0	310	157	0	0	0	0	0	0	0	104	0	0	0	0	0
"120"	"OTU134"	11641	36940	5680	8596	53714	8673	3014	10382	474	8035	66593	30360	6308	23438	37385	1815	4760	992	52	5081	19289	11925	3816	1561	4192
"121"	"OTU135"	97938	144812	83662	249298	169597	265597	44848	145348	85169	182804	174226	78966	41077	100202	162154	15244	19298	8402	2024	30904	94111	58075	10571	24618	91470
"122"	"OTU136"	48271	134878	32697	106996	117763	60243	12836	39011	190564	162715	3872	5663	615	472	1692	415	362	3444	571	3319	3733	2168	309	3799	3176
"123"	"OTU137"	1707	14745	2456	3224	14251	1084	2702	787	790	1391	1549	472	615	787	1231	0	103	0	0	0	156	0	52	0	0
"124"	"OTU138"	78381	93902	40373	312544	144855	219447	148731	199933	90858	161325	216814	156202	54000	177438	256769	20222	56755	27399	5399	52474	329622	132102	24493	64903	183067
"125"	"OTU139"	3104	9002	1689	16579	10336	2168	1143	3775	1422	3709	3097	1573	2000	2045	3538	311	259	52	52	363	311	0	0	260	127
"126"	"OTU140"	56031	74656	62018	129561	83781	113982	101128	96584	49458	55784	5575	14787	8923	5820	3231	1659	155	574	156	1659	12289	21681	773	5257	2668
"127"	"OTU141"	32749	72639	39912	89496	61857	125907	34039	79124	49932	95033	111659	78337	33692	84787	100154	4459	10503	4175	779	4200	23956	19978	3145	6974	16770
"128"	"OTU142"	140000	162195	136162	193421	224407	58075	28842	110112	40767	92252	72478	61348	26923	42000	95538	8141	9571	4384	986	10267	96444	55752	8147	8900	47132
"129"	"OTU143"	24213	28404	7368	24868	34139	47854	9302	34921	18646	27506	58075	37753	9538	39011	58308	3111	8433	1722	571	3941	51489	26327	1753	2186	31379
"130"	"OTU144"	13193	14279	2303	45746	20358	1084	2027	1573	1106	8035	5111	2045	1692	7236	1692	207	259	52	0	1141	2800	774	516	1093	1143
"131"	"OTU145"	80554	417206	158728	179298	322282	80841	4417	100989	141106	191457	13473	6449	7692	8966	12462	5600	2173	4123	6489	19704	31111	13628	670	3279	18548
"132"	"OTU146"	21729	51685	14430	44518	67651	20288	5405	22966	20384	39404	17655	8494	7538	7236	18154	1970	3363	992	467	2800	9489	8518	567	1405	2033
"133"	"OTU147"	31353	50133	40526	91798	39463	398164	45679	187034	64786	152671	44602	49865	17231	37910	61538	26185	12469	8246	8098	30541	59889	228429	9333	48560	127931
"134"	"OTU148"	155	0	154	614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"135"	"OTU149"	1242	8692	614	2303	2349	619	416	0	0	155	2168	787	2000	1573	308	0	466	52	0	0	311	0	0	104	508
"136"	"OTU150"	310	621	768	1996	626	0	0	0	0	0	619	0	0	0	0	0	0	0	0	0	0	310	0	0	0
"137"	"OTU151"	30732	56031	37917	128487	68591	35929	8471	30202	19436	21788	45841	60247	17846	30517	28000	8193	2949	1722	52	23644	42000	16106	516	6402	29855
"138"	"OTU152"	20022	50443	2917	50658	66868	10841	5301	6449	3950	35541	35155	16360	8769	15888	35846	622	1966	418	52	2022	7000	6814	309	1770	1906
"139"	"OTU153"	325322	581109	544189	758794	488277	1820155	735546	1259056	735395	1119691	599491	392629	128462	289124	398000	95719	82831	61739	12043	113348	823356	669491	59659	155414	997405
"140"	"OTU154"	2328	9468	1535	7522	9083	1394	416	1573	1422	1854	4646	1258	4615	2674	1385	104	155	261	0	778	467	0	103	885	254
"141"	"OTU155"	68914	35854	27325	167325	64206	8982	260	2517	12167	8035	3252	787	1846	157	462	0	0	0	0	259	0	0	0	0	0
"142"	"OTU156"	27472	92350	20263	82895	62483	140155	29725	78966	34605	89779	98031	50652	27077	47820	75385	1867	22247	5741	623	12185	59889	33296	3816	5153	39637
"143"	"OTU157"	7605	17384	5833	27325	17539	2788	2442	2202	3318	4790	7588	5820	1385	4562	9385	674	724	209	0	622	2022	310	0	260	508
"144"	"OTU158"	44545	82727	38377	147982	84251	139690	45679	45775	22596	156225	58075	81798	7538	50337	74308	2126	4760	1461	52	3059	35622	16726	3145	6870	10290
"145"	"OTU159"	97317	151951	51272	175921	189329	59159	9874	49393	70316	92252	28031	9596	8000	7551	43538	2074	5846	1148	571	6637	21467	15642	1392	4424	17786
"146"	"OTU160"	931	2173	1075	2610	783	465	728	3303	158	1545	3562	944	308	787	769	104	828	0	0	985	3422	1239	0	156	1525
"147"	"OTU161"	2483	8381	5833	18268	13624	1394	52	1258	2686	7726	2788	315	1077	0	308	363	0	0	0	622	0	310	0	0	0
"148"	"OTU162"	2794	126807	107917	10746	73289	6659	99829	3303	3160	3554	4956	4562	1538	3933	3385	207	1086	365	52	363	4356	4027	103	1405	1906
"149"	"OTU163"	0	155	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"150"	"OTU164"	3725	10089	7368	9211	7987	40575	12212	48921	12009	31523	8982	8022	3692	15730	13231	2074	5484	3027	5762	4096	34844	20442	2527	3799	32777
"151"	"OTU165"	1552	28093	3377	7215	9866	2168	572	2674	3792	1391	16416	5978	1692	4876	7538	52	466	678	0	259	1244	929	103	156	381
"152"	"OTU166"	776	2639	154	0	1096	155	416	0	0	309	465	0	308	0	1385	0	0	0	0	0	0	0	0	0	0
"153"	"OTU167"	5122	20022	9364	5987	11902	3252	7951	5348	2054	6490	3252	2517	2154	1258	1538	207	103	0	0	104	156	929	103	260	0
"154"	"OTU168"	310	931	1689	1075	313	1394	935	8652	0	1082	310	2360	0	787	1692	207	103	365	0	259	1711	1084	0	364	1779
"155"	"OTU169"	9933	14435	13048	11053	15660	51261	2339	20292	8217	24724	26173	43101	3231	22652	15231	9074	2949	1253	363	881	10733	6195	3042	1509	2033
"156"	"OTU170"	78537	60998	79825	142303	108680	96792	55605	75191	28758	131038	51881	54584	17538	39326	80462	4356	9675	3236	779	2644	169556	85642	10622	19674	76098
"157"	"OTU171"	2483	11641	2303	7215	2349	310	104	0	158	927	28031	10697	2308	8180	9538	1037	5381	1566	0	1763	622	310	0	260	0
"158"	"OTU172"	931	1707	1075	2149	2192	2942	208	1888	2054	5254	774	157	923	1258	2769	0	103	52	0	104	311	1394	52	416	127
"159"	"OTU173"	621	1242	0	2763	626	2478	1039	4404	3318	1082	13164	7865	2000	7865	13231	415	3156	678	0	1659	3578	4646	1134	364	1143
"160"	"OTU174"	74191	311508	108838	223509	258076	164469	79510	182472	83589	186667	67522	39011	24000	31618	112462	7467	11744	5845	4309	19185	33444	35774	4589	12804	19056
"161"	"OTU175"	155	6519	31162	1075	5794	465	0	0	474	13753	0	0	0	0	0	104	0	0	52	0	0	0	0	0	0
"162"	"OTU176"	2328	22040	20263	8750	9239	2788	1143	1573	2054	4018	1239	1730	615	629	1692	0	0	0	0	0	0	1084	0	4216	0
"163"	"OTU177"	169335	265565	103311	285833	205145	490774	155642	620562	174605	296071	183208	101303	30923	213933	211385	6896	25041	5845	1298	11926	1014844	426969	16707	35652	455445
"164"	"OTU178"	386475	583126	442105	640746	581141	683429	147691	747348	377178	1085850	125752	163753	46615	33978	38308	38059	23851	47648	3841	268281	33756	94314	17532	26804	85880
"165"	"OTU179"	32594	329202	119123	33311	175078	99270	9770	209528	247449	199492	27102	25640	20462	4247	13077	6430	4656	7254	208	57348	2333	2323	155	260	10036
"166"	"OTU180"	1552	11796	614	1535	4228	1394	1143	629	790	2318	4027	2989	1846	2045	3538	6793	10710	626	156	1919	1244	929	103	156	0
"167"	"OTU181"	19712	32284	12895	66469	38054	43363	14551	18247	9955	23333	66748	62292	32769	60090	93692	7881	13917	3027	1661	3941	21622	29270	7735	9837	25789
"168"	"OTU182"	1552	10244	2303	15044	7360	7124	1611	787	4582	47903	3717	14472	615	8022	9538	104	0	0	0	104	4200	465	0	416	0
