"OUT_Id"	"g411"	"g412"	"g413"	"g414"	"g415"	"g421"	"g422"	"g423"	"g424"	"g425"	"g431"	"g432"	"g433"	"g434"	"g435"	"g441"	"g442"	"g443"	"g444"	"g445"	"g451"	"g452"	"g453"	"g454"	"g455"	"superkingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"49"	"OTU63"	3725	2483	921	921	626	1394	883	1258	2054	2627	20907	4562	4308	6764	12923	674	1707	261	52	1400	7467	8518	1031	2082	10417	"Archaea"	"Thaumarchaeota"	NA	"Nitrososphaerales"	"Nitrososphaeraceae"	"Nitrososphaera"	"Unassigned"
"50"	"OTU64"	17228	37871	56952	83355	43378	160442	11069	72989	23860	64283	32522	23753	13692	43888	55846	3837	14848	2192	986	5496	156800	69381	4383	8015	49673	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp22"	NA	NA	"Gp22"	"uncultured_Acidobacteria_bacterium"
"51"	"OTU65"	0	155	0	614	1096	0	260	0	0	0	774	157	0	0	308	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Pirellula"	"uncultured_Planctomycetacia_bacterium"
"52"	"OTU66"	801197	2284545	223048	348925	1040917	29115	73014	4562	53093	47285	15951	9753	9077	10854	769	19081	29956	39507	10642	31837	1089	22920	9075	625	508	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	NA	NA	NA	"Unassigned"
"53"	"OTU67"	73725	46098	38838	144912	73915	942522	88604	352517	100813	225916	107013	35708	26462	90764	110308	5911	8019	4697	363	6533	329311	159978	2836	34612	204029	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Terrimonas"	"Unassigned"
"54"	"OTU68"	94678	348603	108377	363202	176174	1839513	272257	793596	241287	490618	232146	135124	42769	153685	322000	34481	46149	25990	3997	71919	447222	272721	14644	40753	241506	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"55"	"OTU69"	168714	311197	48048	309934	264183	86726	23489	30360	10429	107704	192810	152112	57077	135753	109231	2281	15159	3444	156	4459	35467	34845	2836	5049	3303	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Gp4"	"Unassigned"
"56"	"OTU70"	18470	129601	57259	60329	85817	32522	4677	13843	36501	54547	32987	23753	22000	21551	40000	5133	15521	7776	1090	8296	24733	23540	6497	11711	22740	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Gaiellales"	"Gaiellaceae"	"Gaiella"	"uncultured_Conexibacter_sp."
"57"	"OTU71"	7916	7295	11820	41601	17539	35774	18293	31775	25914	26733	63805	23910	4308	26427	19538	1141	6571	470	0	2800	17422	8053	877	1405	7241	"Bacteria"	"Armatimonadetes"	"Chthonomonadetes"	"Chthonomonadales"	"Chthonomonadaceae"	"Chthonomonas/Armatimonadetes_gp3"	"uncultured_actinobacterium"
"58"	"OTU72"	310	0	0	0	626	0	208	315	0	618	0	157	0	0	2000	0	0	0	0	0	0	310	0	0	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae_1"	"Bacillus"	"Unassigned"
"59"	"OTU73"	42993	142949	56491	186206	107271	210155	49161	72045	36975	80508	161217	103663	25538	92337	137385	6119	12779	6628	260	12704	133311	63960	3970	9837	60472	"Bacteria"	"Verrucomicrobia"	"Opitutae"	"Opitutales"	"Opitutaceae"	"Opitutus"	"uncultured_Opitutaceae_bacterium"
"60"	"OTU74"	47494	111752	25175	70154	106488	55752	19644	99416	72686	69845	54049	45303	30923	26899	66154	10889	23333	12786	3841	51074	33289	17190	3970	11138	29474	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micromonosporaceae"	"Virgisporangium"	"uncultured_Virgisporangium_sp."
"61"	"OTU75"	55410	150554	30702	133860	113221	306482	71195	178225	41400	143709	313761	137326	51077	143775	205692	17785	39682	15396	1661	30385	407400	198850	9178	23057	176588	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	NA	NA	NA	"Unassigned"
"62"	"OTU76"	1493902	1328914	653487	1408904	1505391	713783	22814	370449	630632	683002	128385	187820	92923	76135	138462	32770	39941	12473	2232	71141	342378	203031	9591	81454	292450	"Bacteria"	"Chloroflexi"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"63"	"OTU77"	6364	56031	32544	31930	28031	55442	4157	49551	17381	35386	10686	14944	6615	787	0	933	1863	157	0	985	1556	310	155	16083	2922	"Bacteria"	"Chloroflexi"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"64"	"OTU78"	381042	504279	301798	554013	477002	211084	50200	133551	287269	471457	277058	205596	79385	201034	156000	3785	25765	6993	260	6015	38267	41504	4589	8900	10290	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Gp4"	"uncultured_Candidatus_Chloracidobacterium_sp."
"65"	"OTU79"	191530	285122	298421	317303	292998	564646	43912	112944	198307	390795	69226	75663	38462	42944	47231	17422	16866	14091	2855	23904	73111	77124	2784	16759	116243	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp6"	NA	NA	"Gp6"	"Unassigned"
"66"	"OTU80"	508315	704501	368882	1782544	1039821	701704	92034	526337	256298	619801	454071	262225	124769	336787	603231	65178	106785	42795	9292	115370	252156	233230	31763	107582	206062	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	NA	"uncultured_Dongia_sp."
"67"	"OTU81"	80089	106475	32083	254978	141096	240664	84291	168472	84853	200883	295332	165955	50308	203079	302000	17059	55669	15552	2596	38215	282800	150686	17274	41430	194501	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp6"	NA	NA	"Gp6"	"uncultured_Moorella_sp."
"68"	"OTU82"	11796	41907	40219	18268	24743	31903	4885	38225	35395	42494	10066	9596	2000	1888	0	311	517	470	0	4304	0	310	0	104	127	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp25"	NA	NA	"Gp25"	"uncultured_Acidobacteria_bacterium"
"69"	"OTU83"	14745	54169	35614	93333	55280	55752	17045	59618	22438	51148	36239	30360	17231	3461	1385	8867	5381	7254	2596	13119	2022	5730	8456	15562	7623	"Bacteria"	"Chloroflexi"	NA	NA	NA	NA	"Unassigned"
"70"	"OTU84"	118115	296142	109145	286754	251186	384071	80134	381933	221851	290508	171283	145506	64154	111843	204462	22193	41545	21971	3789	42830	324800	212633	10828	42575	233122	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp6"	NA	NA	"Gp6"	"Unassigned"
